nearest_station,avg_radius_m,min_radius_m,max_radius_m,curve_count
Baker Street,0.00014106,7e-08,0.00275405,161
Bond Street,0.00199448,3.65e-06,0.03059799,52
Camden Town,0.00014651,1.8e-07,0.00307017,84
Colliers Wood,0.0002882,1.71e-06,0.00353362,42
Euston,0.00033156,5.8e-07,0.0047459,72
Green Park,0.00034949,2.56e-06,0.00433822,87
Holborn,5.398e-05,3e-08,0.0008872,129
Holland Park,0.00060111,1.9e-07,0.01389406,34
Kentish Town,9.722e-05,1.447e-05,0.00032651,26
Morden,0.00010104,4e-08,0.00377405,97
Notting Hill Gate,0.00010225,0.0,0.00120927,98
Oxford Circus,0.00042017,8.3e-07,0.03390061,176
Pimlico,0.00050272,3.37e-06,0.00155373,40
South Wimbledon,0.00033549,6.94e-06,0.00271832,47
Stockwell,0.00023041,0.0,0.00496661,108
Tottenham Court Road,0.00068781,1.007e-05,0.00660692,37
Tufnell Park,0.00022492,3e-08,0.00060172,26
Vauxhall,0.00035273,1.22e-06,0.00189498,52
Victoria,5.15e-05,3e-07,0.0007662,107
Warren Street,0.000701,2.45e-06,0.01074953,47
